100             	  2.79382079e+02 -3.05308843e+00 -5.14904641e+00   7.98925667e+01 4.47682000e-02 -3.17069385e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     7.11440864e-02 8.63627970e+00 -3.34750264e+00   -7.73346864e-03 6.44982933e-01 1.39588863e-02   0.00000000e+00 0.00000000e+00 0.00000000e+00  
10              	  3.94318840e+02 -6.59758449e+01 2.99504749e+01   1.05708707e+02 9.56968548e-02 -9.64695171e-02   0.00000000e+00 0.00000000e+00 0.00000000e+00     9.78922708e+00 -4.36841498e+01 -8.98128446e+01   -3.34900907e-03 3.19521818e-01 7.29918484e-02   0.00000000e+00 0.00000000e+00 0.00000000e+00  
110             	  2.72962790e+02 -3.06261328e+00 -4.98848522e+00   7.77665487e+01 4.13666849e-02 -3.18022835e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     7.96461598e-02 8.60215641e+00 -3.37805723e+00   -7.55916116e-03 6.47280206e-01 1.03391829e-02   0.00000000e+00 0.00000000e+00 0.00000000e+00  
120             	  2.67099070e+02 -3.06151933e+00 -5.07865426e+00   7.58235447e+01 3.82354671e-02 -3.17791057e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     9.06824390e-02 8.86425374e+00 -3.44602395e+00   -7.45551096e-03 6.47494277e-01 6.99680163e-03   0.00000000e+00 0.00000000e+00 0.00000000e+00  
130             	  2.61809166e+02 -3.10344211e+00 -5.26265801e+00   7.40569252e+01 3.56480956e-02 -3.17353878e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.12888327e-01 9.22134100e+00 -3.56163651e+00   -7.45092361e-03 6.47063849e-01 4.47806914e-03   0.00000000e+00 0.00000000e+00 0.00000000e+00  
140             	  2.57073378e+02 -3.25129678e+00 -5.52580609e+00   7.24601596e+01 3.39330896e-02 -3.17094881e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.35739149e-01 9.66419760e+00 -3.80555913e+00   -7.47078427e-03 6.46489223e-01 3.28639137e-03   0.00000000e+00 0.00000000e+00 0.00000000e+00  
150             	  2.52891183e+02 -3.47944713e+00 -5.77710786e+00   7.10246875e+01 3.25450634e-02 -3.17513296e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.60663574e-01 1.00371732e+01 -4.14290648e+00   -7.48102468e-03 6.46519832e-01 2.56021084e-03   0.00000000e+00 0.00000000e+00 0.00000000e+00  
160             	  2.49226210e+02 -3.54373831e+00 -6.09231155e+00   6.97391587e+01 3.11405773e-02 -3.18524386e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.71242222e-01 1.04917097e+01 -4.25515225e+00   -7.46258040e-03 6.47110307e-01 1.74066569e-03   0.00000000e+00 0.00000000e+00 0.00000000e+00  
170             	  2.46011857e+02 -3.48038710e+00 -6.46946305e+00   6.85922020e+01 2.95337154e-02 -3.20122457e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.68689146e-01 1.10155734e+01 -4.17766479e+00   -7.41270722e-03 6.48348034e-01 5.25841759e-04   0.00000000e+00 0.00000000e+00 0.00000000e+00  
180             	  2.43158872e+02 -3.40234334e+00 -6.78051416e+00   6.75729337e+01 2.80093091e-02 -3.22063495e-01   0.00000000e+00 0.00000000e+00 0.00000000e+00     1.68776977e-01 1.14364887e+01 -4.07844822e+00   -7.39917701e-03 6.49957291e-01 -6.69929505e-04   0.00000000e+00 0.00000000e+00 0.00000000e+00  
